PRESS R 0
RELEASE R 78
MOVE -1 0 293
MOVE 0 1 294
MOVE -1 1 297
MOVE -1 0 297
MOVE 0 1 299
MOVE -1 0 300
MOVE -1 1 300
MOVE -1 1 303
MOVE -1 1 304
MOVE -1 1 304
MOVE -1 0 306
MOVE -1 1 307
MOVE -1 1 307
MOVE -1 1 309
MOVE -1 1 309
MOVE -1 1 310
MOVE -1 1 311
MOVE -1 1 312
MOVE -2 1 313
MOVE -1 1 314
MOVE -1 1 316
MOVE -1 1 317
MOVE 0 1 317
MOVE -1 1 318
MOVE -1 2 319
MOVE -1 1 320
MOVE 0 1 322
MOVE -1 1 322
MOVE 0 1 324
MOVE -1 1 324
MOVE 0 2 326
MOVE -1 1 326
MOVE 0 1 327
MOVE 0 1 329
MOVE 0 2 329
MOVE -1 1 330
MOVE 0 1 331
MOVE 0 2 333
MOVE 0 2 334
MOVE 0 1 334
MOVE 0 2 335
MOVE 0 2 336
MOVE 0 2 338
MOVE 0 2 339
MOVE 0 1 340
MOVE 0 2 341
MOVE 0 2 341
MOVE 0 3 343
MOVE 0 2 344
MOVE 1 2 345
MOVE 0 2 346
MOVE 0 2 347
MOVE 1 2 347
MOVE 0 3 348
MOVE 0 2 350
MOVE 1 2 351
MOVE 0 2 351
MOVE 1 2 353
MOVE 0 2 353
MOVE 0 3 355
MOVE 1 2 355
MOVE 0 2 356
MOVE 0 2 357
MOVE 1 2 359
MOVE 0 2 359
MOVE 0 3 360
MOVE 1 2 361
MOVE 0 3 363
MOVE 0 2 364
MOVE 0 2 365
MOVE 1 2 366
MOVE 0 3 367
MOVE 0 2 368
MOVE 0 2 368
MOVE 0 2 369
MOVE 0 3 370
MOVE 1 2 372
MOVE 0 2 372
MOVE 0 3 373
MOVE 0 2 374
MOVE 0 2 376
MOVE 0 2 376
MOVE 0 3 377
MOVE 0 2 378
MOVE 0 2 379
MOVE 0 2 380
MOVE 0 2 381
MOVE 0 3 382
MOVE 0 2 383
MOVE 0 2 384
MOVE 0 2 385
MOVE 0 2 386
MOVE 0 2 387
MOVE 0 2 389
MOVE 0 1 390
MOVE 0 2 390
MOVE 0 2 391
MOVE -1 2 393
MOVE 0 2 394
MOVE 0 1 395
MOVE 0 2 396
MOVE 0 2 396
MOVE 0 1 397
MOVE 0 2 399
MOVE -1 2 400
MOVE 0 1 400
MOVE 0 1 401
MOVE 0 2 402
MOVE 0 1 403
MOVE 0 2 405
MOVE 0 1 406
MOVE -1 1 407
MOVE 0 2 407
MOVE 0 1 409
MOVE 0 1 410
MOVE 0 1 411
MOVE 0 2 411
MOVE 0 1 412
MOVE 0 1 413
MOVE 0 1 414
MOVE 0 1 415
MOVE -1 1 416
MOVE 0 1 417
MOVE 0 1 418
MOVE 0 1 420
MOVE 0 1 420
MOVE 0 1 422
MOVE 0 1 423
MOVE 0 1 424
MOVE 0 1 424
MOVE 0 1 426
MOVE 0 1 428
MOVE 0 1 428
MOVE 0 1 430
MOVE 0 1 431
MOVE 0 1 433
MOVE 0 1 434
MOVE 1 0 435
MOVE 0 1 435
MOVE 0 1 438
MOVE 0 1 439
MOVE 0 1 441
MOVE 0 1 442
MOVE 1 1 444
MOVE 0 1 446
MOVE 0 1 448
MOVE 0 1 450
MOVE 1 1 452
MOVE 0 1 456
MOVE 0 1 461
MOVE 0 1 468
MOVE 1 0 489
MOVE 0 1 490
MOVE 0 1 497
MOVE 1 0 498
MOVE 0 1 503
MOVE 0 1 509
MOVE 1 0 510
MOVE 0 1 516
MOVE 0 1 523
MOVE 0 1 529
MOVE 0 1 535
MOVE 0 1 541
MOVE 0 1 546
MOVE 0 1 550
MOVE 0 1 553
MOVE 0 1 555
MOVE 0 1 558
MOVE 0 1 561
MOVE 0 1 563
MOVE 0 1 565
MOVE 0 1 566
MOVE 0 1 568
MOVE 0 1 568
MOVE 0 1 571
MOVE 0 1 572
MOVE 0 1 573
MOVE 0 1 575
MOVE 0 1 577
MOVE 0 1 578
MOVE 0 1 579
MOVE 0 1 580
MOVE 0 1 581
MOVE 0 1 582
MOVE 0 1 582
MOVE 0 1 584
MOVE 0 1 584
MOVE 0 1 585
MOVE 0 2 587
MOVE 0 1 587
MOVE 0 1 589
MOVE 0 1 590
MOVE 0 2 590
MOVE 0 1 591
MOVE 0 1 593
MOVE -1 2 594
MOVE 0 1 595
MOVE 0 1 596
MOVE 0 2 597
MOVE 0 1 598
MOVE 0 1 599
MOVE 0 2 600
MOVE 0 1 600
