id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/armed_citizenry_units_to_unit_groups_junctions			
0	200	Aet_Cav	default
10000	100	Rom_Legionaries	rom_roman_minor_settlement_lvl2_allgarrison
10001	100	Rom_Legionaries	rom_roman_minor_settlement_lvl3_allgarrison
1001	100	Eas_Par_Sword	rom_eastern_parthian_swordsmen
10011	100	Rom_Legionaries	rom_roman_minor_settlement_lvl4_allgarrison
10020	100	Rom_Legionaries	rom_roman_minor_settlement_lvl4_allgarrison
10026	100	Rom_Legionaries_Two	rom_roman_naval_patrol_lvl2
10029	100	Rom_Legionaries_Four	rom_roman_naval_patrol_lvl4
10037	100	Rom_Legionaries	rom_roman_strong_melee
10045	100	Rom_Legionaries	rom_roman_strong_melee2
10049	100	Rom_Vet_Legionaries_Six	rom_roman_naval_main_lvl3
10053	100	Rom_Legionary_Cohort	rom_roman_medium_melee
10060	100	Rom_Legionary_Cohort	rom_roman_medium_melee_sword
10066	100	Rom_Legionary_Cohort	rom_roman_minor_settlement_lvl3_allgarrison
10067	100	Rom_Legionary_Cohort	rom_roman_minor_settlement_lvl4_allgarrison
10073	100	Rom_Legionary_Cohort	rom_roman_minor_settlement_lvl2_allgarrison
1008	200	Eas_Hillmen	rom_eastern_skirmishers
10083	100	Rom_Legionary_Cohort	rom_roman_minor_settlement_lvl3_allgarrison
10091	100	Rom_Legionary_Cohort	rom_roman_minor_settlement_lvl4_allgarrison
10093	100	Rom_Legionary_Cohort	rom_roman_minor_settlement_lvl4_allgarrison
10099	100	Rom_Legionary_Cohort_Two	rom_roman_naval_patrol_lvl2
10108	100	Rom_Legionary_Cohort_Four	rom_roman_naval_patrol_lvl4
10117	100	Rom_Legionary_Cohort	rom_roman_strong_melee
10120	100	Rom_Legionary_Cohort	rom_roman_strong_melee2
10130	100	Rom_Evocati_Six	rom_roman_naval_main_lvl3
10131	100	Car_Late_Hoplites	rom_hellenic_medium_melee
10133	100	Car_Late_Hoplites	rom_hellenic_strong_melee
10139	100	Car_Late_Hoplites	rom_hellenic_minor_settlement_lvl2_allgarrison
10140	100	Car_Late_Hoplites	rom_hellenic_minor_settlement_lvl3_allgarrison
10148	100	Car_Late_Hoplites	rom_hellenic_minor_settlement_lvl4_allgarrison
1015	200	Ara_Levy_Skirm	rom_eastern_skirmishers
10153	100	Car_Late_Hoplites	rom_hellenic_minor_settlement_lvl3_allgarrison
10161	100	Car_Late_Hoplites	rom_hellenic_minor_settlement_lvl4_allgarrison
10169	100	Car_Late_Hoplites_Four	rom_hellenic_naval_patrol_lvl4
10171	100	Car_Late_Hoplites_Two	rom_hellenic_naval_patrol_lvl2
10180	100	Car_Late_Libyan_Hoplites	rom_eastern_foreign_hellenic_basic_melee
10188	100	Car_Late_Libyan_Hoplites	rom_hellenic_basic_melee
10198	100	Car_Late_Libyan_Hoplites	rom_barbarian_minor_settlement_lvl3_allgarrison
10200	100	Car_Late_Libyan_Hoplites	rom_barbarian_minor_settlement_lvl4_allgarrison
