building	effect	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/building_effects_junction					
3c_armenia_military_cavalry_4	rom_building_food_consumption	this_region	8.0	4.0	0.0
3c_armenia_military_cavalry_4	rom_building_recruitment_points	this_province	2.0	0.0	0.0
3c_armenia_military_infantry_2	rom_building_food_consumption	this_region	2.0	2.0	0.0
3c_armenia_military_infantry_3	rom_building_food_consumption	this_region	4.0	4.0	0.0
3c_armenia_military_infantry_3	rom_building_recruitment_points	this_province	1.0	0.0	0.0
3c_armenia_military_infantry_4	rom_building_food_consumption	this_region	6.0	0.0	0.0
3c_armenia_military_infantry_4	rom_building_recruitment_points	this_province	2.0	0.0	0.0
3c_barb_agriculture_1	rom_building_food_farming_grain	this_region	4.0	4.0	0.0
3c_barb_agriculture_1	rom_building_gdp_agriculture_farming	this_building	40.0	20.0	0.0
3c_barb_agriculture_cattle_2	rom_building_food_farming_grain	this_region	5.0	5.0	0.0
3c_barb_agriculture_cattle_2	rom_building_gdp_agriculture_animal_husbandry	this_building	100.0	50.0	0.0
3c_barb_agriculture_cattle_2	rom_building_squalor	this_region	1.0	2.0	2.0
3c_barb_agriculture_cattle_3	rom_building_food_farming_grain	this_region	7.0	7.0	0.0
3c_barb_agriculture_cattle_3	rom_building_gdp_agriculture_animal_husbandry	this_building	175.0	87.0	0.0
3c_barb_agriculture_cattle_3	rom_building_public_order_happiness	this_province	-3.0	-2.0	0.0
3c_barb_agriculture_cattle_3	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_agriculture_cattle_4	rom_building_food_farming_grain	this_region	9.0	9.0	0.0
3c_barb_agriculture_cattle_4	rom_building_gdp_agriculture_animal_husbandry	this_building	250.0	125.0	0.0
3c_barb_agriculture_cattle_4	rom_building_public_order_happiness	this_province	-6.0	-3.0	0.0
3c_barb_agriculture_cattle_4	rom_building_squalor	this_region	5.0	8.0	10.0
3c_barb_agriculture_farm_2	rom_building_food_farming_grain	this_region	7.0	7.0	0.0
3c_barb_agriculture_farm_2	rom_building_gdp_agriculture_farming	this_building	60.0	30.0	0.0
3c_barb_agriculture_farm_2	rom_building_squalor	this_region	1.0	2.0	2.0
3c_barb_agriculture_farm_3	rom_building_food_farming_grain	this_region	10.0	10.0	0.0
3c_barb_agriculture_farm_3	rom_building_gdp_agriculture_farming	this_building	80.0	40.0	0.0
3c_barb_agriculture_farm_3	rom_building_public_order_happiness	this_province	-3.0	-2.0	0.0
3c_barb_agriculture_farm_3	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_agriculture_farm_4	rom_building_food_farming_grain	this_region	15.0	15.0	0.0
3c_barb_agriculture_farm_4	rom_building_gdp_agriculture_farming	this_building	100.0	50.0	0.0
3c_barb_agriculture_farm_4	rom_building_public_order_happiness	this_province	-6.0	-3.0	0.0
3c_barb_agriculture_farm_4	rom_building_squalor	this_region	5.0	8.0	10.0
3c_barb_agriculture_horse_2	rom_building_food_farming_grain	this_region	4.0	4.0	0.0
3c_barb_agriculture_horse_2	rom_building_gdp_agriculture_animal_husbandry	this_building	60.0	30.0	0.0
3c_barb_agriculture_horse_2	rom_building_public_order_happiness	this_province	-2.0	-2.0	0.0
3c_barb_agriculture_horse_2	rom_building_squalor	this_region	1.0	2.0	2.0
3c_barb_agriculture_horse_3	rom_building_food_farming_grain	this_region	4.0	4.0	0.0
3c_barb_agriculture_horse_3	rom_building_gdp_agriculture_animal_husbandry	this_building	80.0	40.0	0.0
3c_barb_agriculture_horse_3	rom_building_public_order_happiness	this_province	-4.0	-2.0	0.0
3c_barb_agriculture_horse_3	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_agriculture_horse_4	rom_building_food_farming_grain	this_region	4.0	4.0	0.0
