key	accuracy	ammo	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	dismounted_melee_defense	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	num_guns	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	chariot	num_chariots	reload	loose_spacing	spotting_and_hiding	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar
#land_units_tables;27;db/land_units_tables/land_units																																																		
3c_Afr_Ballista	5	15	cloth	1900	artillery	6	art_fld	2	9	14	Rom_Ballista_Long	rome_man_ballista_med_crew	rome_infantry_medium	9	14	40	5		0		0	rome_shortsword		1	none	Afr_Ballista_Tooltip	artillery	ballista	true	poorly_trained	4	3c_Arm_Officer_Infantry		ballista_medium	true	40.0	500.0	0.0	artillery_warm	40.0	80.0		0	4	false	Not_a_Scout	selected_ballista	selected_ballista	selected_ballista	1.0
3c_Afr_Ballista_Bastion	5	25	cloth	1900	artillery	6	art_fld	2	9	14	Rom_Ballista_Long	rome_man_ballista_med_crew	rome_infantry_medium	9	14	40	0		0		0	rome_shortsword		1	none	Afr_Ballista_Tooltip	artillery	ballista	true	poorly_trained	4	3c_Arm_Officer_Infantry		ballista_medium_bastion	true	40.0	500.0	0.0	artillery_warm	40.0	80.0		0	20	false	Not_a_Scout	selected_ballista	selected_ballista	selected_ballista	1.0
3c_Afr_Cheiroballistra	5	40	cloth	1900	artillery	36	art_fld	2	9	14	Rom_Scorpion_Long	rome_man_cheiroballistra_crew	rome_infantry_medium	9	14	40	5		0		0	rome_shortsword		1	none	Afr_Scorpion_Tooltip	artillery	scorpion	true	trained	4	3c_Arm_Officer_Infantry		cheiroballistra	true	40.0	500.0	0.0	artillery_warm	40.0	80.0		0	4	false	Not_a_Scout	selected_scorpion	selected_scorpion	selected_scorpion	1.0
3c_Afr_Giant_Ballista	5	15	cloth	1900	artillery	6	art_fix	2	9	14	Rom_Ballista_Long	rome_man_ballista_giant_crew	rome_infantry_medium	9	14	40	5		0		0	rome_shortsword		1	none	Afr_Giant_Ballista_Tooltip	giant_artillery	ballista_giant	true	poorly_trained	4	3c_Arm_Officer_Infantry		ballista_giant	true	40.0	500.0	0.0	artillery_warm	40.0	80.0		0	4	false	Not_a_Scout	selected_giant_ballista	selected_giant_ballista	selected_giant_ballista	1.0
3c_Afr_Large_Onager	5	15	cloth	1900	artillery	6	art_fld	2	9	14	Rom_Onager_Long	rome_man_onager_large_crew	rome_infantry_medium	9	14	40	5		0		0	rome_shortsword		1	none	Afr_Large_Onager_Tooltip	giant_artillery	onager	true	poorly_trained	4	3c_Arm_Officer_Low_Tier_NoStandard		onager_large	true	40.0	500.0	0.0	artillery_warm	40.0	80.0		0	4	false	Not_a_Scout	selected_heavy_onager	selected_heavy_onager	selected_heavy_onager	1.0
3c_Afr_Onager	5	15	cloth	1900	artillery	6	art_fld	2	9	14	Rom_Onager_Long	rome_man_onager_crew	rome_infantry_medium	9	14	40	5		0		0	rome_shortsword		1	none	Afr_Onager_Tooltip	artillery	onager	true	poorly_trained	4	3c_Arm_Officer_Low_Tier_NoStandard		onager	true	40.0	500.0	0.0	artillery_warm	40.0	80.0		0	4	false	Not_a_Scout	selected_onager	selected_stone_thrower	selected_onager	1.0
3c_Afr_Onager_Bastion	5	25	cloth	1900	artillery	6	art_fld	6	5	14	Rom_Onager_Long	rome_man_onager_crew	rome_infantry_medium	9	14	40	0		0		0	rome_shortsword		1	none	Afr_Onager_Tooltip	artillery	onager	true	poorly_trained	4	3c_Arm_Officer_Low_Tier_NoStandard		onager_bastion	true	40.0	500.0	0.0	artillery_warm	40.0	80.0		0	20	false	Not_a_Scout	selected_onager	selected_stone_thrower	selected_onager	1.0
3c_Afr_Scorpion	5	30	cloth	1900	artillery	6	art_fix	2	9	14	Rom_Scorpion_Long	rome_man_scorpio_crew	rome_infantry_medium	9	14	40	5		0		0	rome_shortsword		1	none	Afr_Scorpion_Tooltip	artillery	scorpion	true	poorly_trained	4	3c_Arm_Officer_Infantry		scorpio	true	40.0	500.0	0.0	artillery_warm	40.0	80.0		0	4	false	Not_a_Scout	selected_scorpion	selected_scorpion	selected_scorpion	1.0
3c_Afr_Scorpion_Bastion	5	40	cloth	1900	artillery	6	art_fix	2	5	14	Rom_Scorpion_Long	rome_man_scorpio_crew	rome_infantry_medium	9	14	40	0		0		0	rome_shortsword		1	none	Afr_Scorpion_Tooltip	artillery	scorpion_bastion	true	poorly_trained	4	3c_Arm_Officer_Infantry		scorpio_bastion	true	40.0	500.0	0.0	artillery_warm	40.0	80.0		0	20	false	Not_a_Scout	selected_scorpion	selected_scorpion	selected_scorpion	1.0
