technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/technology_effects_junction			
3c_alani_civil_culture_establish_ennaree_council	3c_tech_civil_economy_banditry_reduce_all	this_faction	-5.0
3c_alani_civil_culture_establish_ennaree_council	rom_agent_action_cost_mod	all_agents	-35.0
3c_alani_civil_culture_establish_ennaree_council	rom_any_corruption_mod_global	this_faction	-5.0
3c_alani_civil_culture_gather_ennaree_shamans	rom_building_recruitment_agent_level_dignitary	in_all_your_provinces	2.0
3c_alani_civil_culture_gather_royal_storytellers	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	50.0
3c_alani_civil_culture_invoke_blood_ties	3c_tech_civil_culture_diplomacy_steppe	this_faction	20.0
3c_alani_civil_culture_pay_respect_ancestors	rom_tech_civil_philosophy_happiness_mod	in_all_your_provinces	7.0
3c_alani_civil_culture_restore_scythian_traditions	rom_tech_civil_philosophy_conversion_mod	this_faction	4.0
3c_alani_civil_economy_focus_on_husbandry	3c_tech_civil_economy_food_cattle	in_all_your_regions	5.0
3c_alani_civil_economy_improve_sheep_selection	rom_building_gdp_mod_agriculture_animal_husbandry	in_all_your_regions	30.0
3c_alani_civil_economy_send_trade_envoys	3c_tech_civil_economy_resource_production	this_faction	10.0
3c_alani_civil_economy_send_trade_envoys	3c_technology_cost	this_faction	1000.0
3c_alani_civil_governance_introduce_steppe_laws	3c_tech_civil_economy_banditry_reduce_all	this_faction	-10.0
3c_alani_civil_governance_proclaim_legendary_kingdom	3c_tech_civil_governance_recruitment_points_hereditary_monarchy	in_all_your_provinces	1.0
3c_alani_civil_governance_proclaim_legendary_kingdom	3c_tech_civil_governance_unit_mod_experience_kingdom	in_all_your_provinces	2.0
3c_alani_civil_top_gather_herdsmen	rom_tech_civil_economy_agriculture_gdp_mod	in_all_your_regions	15.0
3c_alani_civil_top_gather_herdsmen	rom_tech_civil_economy_growth_mod	in_all_your_provinces	2.0
3c_alani_military_battle_adopt_hellenic_naval_traditions	rom_force_campaign_mod_recruitment_cost_naval	in_all_your_sea_regions	-15.0
3c_alani_military_battle_adopt_hellenic_naval_traditions	rom_force_unit_mod_hull_armour	in_all_your_navies	10.0
3c_alani_military_battle_announce_head_hunt	3c_tech_military_fatigue_resistance_land_units	in_all_your_forces	1.0
3c_alani_military_battle_announce_head_hunt	3c_technology_cost	this_faction	600.0
3c_alani_military_battle_issue_cavalry_chain_mail	3c_force_unit_mod_armour_cavalry	in_all_your_forces	10.0
3c_alani_military_battle_issue_cavalry_chain_mail	3c_technology_cost	this_faction	1000.0
3c_alani_military_battle_practice_feigned_retreat	rom_force_unit_mod_cavalry_melee_attack	in_all_your_forces	10.0
3c_alani_military_battle_practice_feigned_retreat	rom_force_unit_mod_cavalry_melee_defence	in_all_your_forces	10.0
3c_alani_military_battle_train_with_composite_bows	rom_tech_military_tactics_accuracy_mod	in_all_your_forces	15.0
3c_alani_military_campaign_unite_the_steppes	rom_building_recruitment_points	in_all_your_provinces	1.0
3c_alani_military_campaign_unite_the_steppes	rom_building_unit_experience_cavalry	in_all_your_provinces	2.0
3c_alani_military_top_breed_steppe_steeds	rom_force_campaign_mod_recruitment_cost_cavalry	in_all_your_provinces	-5.0
3c_armenia_civil_culture_accept_christian_refuges	rom_tech_civil_philosophy_happiness_mod	in_all_your_provinces	3.0
3c_armenia_civil_culture_develop_natural_sciences	rom_building_research_points	this_faction	10.0
3c_armenia_civil_culture_hire_royal_medicinemen	3c_tech_civil_culture_medicinemen_ancillaries	this_faction	1.0
3c_armenia_civil_culture_honor_sassanian_influence	3c_tech_civil_culture_diplomacy_eastern	this_faction	20.0
3c_armenia_civil_culture_support_christianity	3c_tech_civil_culture_christian_wealth	in_all_your_regions	20.0
3c_armenia_civil_culture_support_christianity	3c_tech_civil_culture_replenishtment_rate_christ_cult	in_all_your_regions	5.0
3c_armenia_civil_culture_support_christianity	rom_tech_civil_philosophy_happiness_mod	in_all_your_provinces	5.0
3c_armenia_civil_culture_welcome_latin_influence	3c_tech_civil_culture_diplomacy_latin	this_faction	20.0
3c_armenia_civil_economy_control_silk_roads	3c_tech_civil_economy_banditry_reduce_all	this_faction	-10.0
3c_armenia_civil_economy_control_silk_roads	3c_tech_civil_economy_silk_road	this_faction	40.0
3c_armenia_civil_economy_control_silk_roads	rom_tech_civil_economy_trade_gdp_mod	in_all_your_regions	20.0
3c_armenia_civil_economy_hire_roman_translators	3c_technology_cost	this_faction	500.0
3c_armenia_civil_economy_plan_grand_canals	rom_building_sanitation	in_all_your_regions	5.0
3c_armenia_civil_economy_plan_grand_canals	rom_tech_civil_economy_food_mod	this_faction	3.0
3c_armenia_civil_economy_tax_the_nobility	3c_tech_civil_economy_tax_nobility	this_faction	300.0
3c_armenia_civil_governance_control_urban_development	rom_building_cost_mod_buildings_city_centre	in_all_your_regions	-15.0
3c_armenia_civil_governance_demand_zealous_labour	rom_tech_engineering_construction_castle_time_mod	in_all_your_regions	-2.0
3c_armenia_civil_governance_extend_peasant_class_rights	rom_tech_civil_economy_growth_mod	in_all_your_provinces	5.0
3c_armenia_civil_governance_glorify_illoustrous_lineage	rom_tech_civil_philosophy_happiness_mod	in_all_your_provinces	4.0
3c_armenia_civil_governance_glorify_illoustrous_lineage	rom_tech_civil_philosophy_political_political_event_mod	this_faction	-20.0
3c_armenia_civil_governance_proclaim_grand_armenia	3c_tech_civil_governance_recruitment_points_hereditary_monarchy	in_all_your_provinces	1.0
3c_armenia_civil_governance_proclaim_grand_armenia	3c_tech_civil_governance_unit_mod_experience_kingdom	in_all_your_provinces	2.0
3c_armenia_civil_governance_promote_trusted_councillors	rom_faction_political_party_loyalty	this_faction	20.0
3c_armenia_civil_top_honor_sassanian_mandate	3c_tech_civil_culture_diplomacy_eastern	this_faction	10.0
3c_armenia_civil_top_honor_sassanian_mandate	rom_tech_civil_philosophy_happiness_mod	in_all_your_provinces	2.0
3c_armenia_military_battle_dominate_the_crossroads	3c_force_unit_mod_melee_attack_versus_romans	in_all_your_forces	10.0
3c_armenia_military_battle_dominate_the_crossroads	3c_force_unit_mod_melee_defence_versus_romans	in_all_your_forces	10.0
3c_armenia_military_battle_dominate_the_crossroads	3c_force_unit_mod_morale_versus_romans	in_all_your_forces	10.0
3c_armenia_military_battle_dominate_the_crossroads	rom_force_unit_mod_melee_attack_versus_easterners	in_all_your_forces	10.0
3c_armenia_military_battle_dominate_the_crossroads	rom_force_unit_mod_melee_defence_versus_easterners	in_all_your_forces	10.0
3c_armenia_military_battle_dominate_the_crossroads	rom_force_unit_mod_morale_versus_easterners	in_all_your_forces	10.0
3c_armenia_military_battle_glorify_hayk_legacy	3c_force_unit_mod_bows_ammunition	in_all_your_forces	10.0
3c_armenia_military_battle_glorify_hayk_legacy	3c_force_unit_mod_bows_battle_speed	in_all_your_forces	10.0
3c_armenia_military_battle_glorify_hayk_legacy	rom_force_unit_mod_bows_missile_rate	in_all_your_forces	15.0
3c_armenia_military_battle_issue_composite_bows	3c_technology_cost	this_faction	400.0
3c_armenia_military_battle_issue_composite_bows	rom_force_unit_mod_missile_damage	in_all_your_forces	15.0
3c_armenia_military_battle_motivate_your_hirelings	3c_force_unit_mod_mercenary_melee_attack	in_all_your_forces	10.0
3c_armenia_military_battle_motivate_your_hirelings	rom_force_unit_mod_morale_mercenary	in_all_your_forces	10.0
3c_armenia_military_battle_praise_armenian_nobility	3c_general_bodyguard_mod_armour	in_all_your_forces	8.0
3c_armenia_military_battle_praise_armenian_nobility	3c_general_bodyguard_mod_charge	in_all_your_forces	8.0
3c_armenia_military_battle_praise_armenian_nobility	3c_general_bodyguard_mod_melee_attack	in_all_your_forces	8.0
3c_armenia_military_battle_praise_armenian_nobility	3c_general_bodyguard_mod_melee_defense	in_all_your_forces	8.0
3c_armenia_military_battle_refine_your_naval_artillery	rom_force_unit_mod_missile_range_navy_missile_and_artillery	in_all_your_navies	15.0
3c_armenia_military_battle_refine_your_naval_artillery	rom_tech_military_navy_ship_artillary_accuracy_mod	in_all_your_navies	10.0
3c_armenia_military_battle_refine_your_naval_artillery	rom_tech_military_tactics_reload_ship_mod	in_all_your_navies	15.0
3c_armenia_military_battle_research_your_machines_of_war	rom_force_unit_mod_artillery_damage	in_all_your_forces	20.0
3c_armenia_military_battle_research_your_machines_of_war	rom_force_unit_mod_artillery_rate	in_all_your_forces	15.0
3c_armenia_military_battle_reward_your_kataphractoi	3c_force_unit_mod_cavalry_heavy_armour	in_all_your_armies	10.0
3c_armenia_military_battle_reward_your_kataphractoi	3c_force_unit_mod_cavalry_heavy_charge	in_all_your_armies	10.0
3c_armenia_military_battle_teach_sailors_fight	rom_force_unit_mod_morale	in_all_your_navies	10.0
3c_armenia_military_battle_teach_sailors_fight	rom_force_unit_mod_ramming_bonus	in_all_your_navies	20.0
3c_armenia_military_battle_teach_sailors_fight	rom_tech_military_navy_battle_speed_mod	in_all_your_navies	7.0
