RELEASE T 0
PRESS C 123
PRESS I 223
RELEASE C 252
PRESS CAPS_LOCK 295
RELEASE I 307
PRESS E 350
RELEASE CAPS_LOCK 388
RELEASE E 397
PRESS S 480
RELEASE S 559
PRESS RIGHT_BRACKET 687
RELEASE RIGHT_BRACKET 770
MOVE 1 -1 1321
MOVE 1 -2 1324
MOVE 1 -2 1328
MOVE 1 -3 1330
MOVE 1 -3 1332
MOVE 1 -4 1334
MOVE 1 -3 1336
MOVE 1 -3 1338
MOVE 1 -4 1339
MOVE 1 -3 1341
MOVE 1 -3 1342
MOVE 1 -3 1344
MOVE 1 -3 1346
MOVE 1 -3 1347
MOVE 1 -3 1349
MOVE 1 -3 1351
MOVE 1 -3 1353
MOVE 1 -3 1356
MOVE 1 -3 1359
MOVE 1 -2 1362
MOVE 1 -3 1364
MOVE 1 -3 1368
MOVE 1 -3 1371
MOVE 1 -3 1374
MOVE 1 -3 1378
MOVE 1 -3 1382
MOVE -1 -2 1395
MOVE -1 -2 1397
MOVE -1 -2 1398
MOVE -1 -3 1400
MOVE -1 -2 1401
MOVE -1 -3 1402
MOVE -1 -3 1403
MOVE -1 -3 1404
MOVE -1 -2 1405
MOVE -1 -4 1406
MOVE -2 -2 1407
MOVE -1 -4 1408
MOVE -1 -3 1409
MOVE -1 -3 1410
MOVE -2 -3 1411
MOVE -1 -3 1412
MOVE -2 -3 1413
MOVE -1 -4 1414
MOVE -2 -3 1415
MOVE -1 -3 1416
MOVE -2 -3 1417
MOVE -1 -3 1418
MOVE -2 -3 1419
MOVE -1 -3 1420
MOVE -2 -3 1421
MOVE -1 -3 1422
MOVE -2 -3 1423
MOVE -2 -2 1424
MOVE -1 -3 1425
MOVE -2 -3 1426
MOVE -1 -2 1427
MOVE -2 -3 1428
MOVE -1 -2 1429
MOVE -2 -2 1430
MOVE -1 -2 1431
MOVE -2 -2 1432
MOVE -1 -2 1433
MOVE -1 -2 1434
MOVE -1 -2 1435
MOVE -2 -2 1436
MOVE -1 -1 1437
MOVE -1 -2 1438
MOVE -1 -1 1439
MOVE -1 -2 1440
MOVE -1 -1 1441
MOVE -1 -1 1442
MOVE -1 -1 1443
MOVE -1 -2 1444
MOVE -1 -1 1445
MOVE -1 -1 1446
MOVE -1 -1 1447
MOVE -1 -1 1448
MOVE -1 -1 1449
MOVE -1 -1 1450
MOVE -1 -1 1453
MOVE -1 -1 1454
MOVE -1 -1 1456
MOVE -1 -1 1459
MOVE -1 -1 1460
MOVE -1 -1 1462
MOVE -1 -1 1465
MOVE -1 -1 1471
MOVE -1 -1 1480
MOVE -1 -1 1494
MOVE -1 1 1557
MOVE -1 1 1560
MOVE -1 1 1563
MOVE -1 1 1565
MOVE -1 1 1567
MOVE -1 1 1569
MOVE -1 1 1571
MOVE -1 2 1572
MOVE -1 1 1574
MOVE -1 1 1575
MOVE -1 1 1577
MOVE -1 1 1578
MOVE -1 1 1580
MOVE -1 1 1581
MOVE -1 2 1583
MOVE -1 1 1584
MOVE -1 1 1586
MOVE -1 2 1587
MOVE -1 1 1589
MOVE -1 1 1590
MOVE -1 1 1592
MOVE -1 1 1595
MOVE -1 1 1597
MOVE 1 -1 1639
MOVE 1 -1 1643
MOVE 1 -1 1645
MOVE 1 -1 1648
MOVE 1 -1 1649
MOVE 1 -1 1651
MOVE 1 -1 1652
MOVE 1 -1 1654
MOVE 1 -2 1655
MOVE 1 -1 1656
MOVE 1 -1 1658
MOVE 1 -2 1659
MOVE 1 -2 1661
MOVE 1 -2 1662
MOVE 1 -2 1664
MOVE 1 -2 1665
MOVE 1 -2 1667
MOVE 1 -2 1669
MOVE 1 -2 1671
MOVE 1 -2 1673
MOVE 1 -3 1676
MOVE 1 -3 1681
MOVE 1 -4 1709
MOVE 1 -4 1713
MOVE 1 -3 1717
MOVE 1 -3 1720
MOVE -1 -2 1737
MOVE -1 -2 1741
MOVE -1 -2 1743
MOVE -1 -1 1744
MOVE -1 -1 1746
MOVE -1 -1 1748
MOVE -1 -1 1750
MOVE -1 -1 1752
MOVE -1 -2 1753
MOVE -1 -2 1755
MOVE -1 -2 1757
MOVE -1 -1 1758
MOVE -1 -1 1760
MOVE -1 -2 1761
MOVE -1 -1 1762
MOVE -1 -2 1764
MOVE -1 -1 1765
MOVE -1 -2 1766
MOVE -1 -2 1768
MOVE -1 -2 1770
MOVE -1 -1 1771
MOVE -1 -2 1772
MOVE -1 -1 1773
MOVE -1 -2 1775
